## Classical Chinese Character Frequency List
## 古汉语单字频率列表
## 拼音取自于http://www.mandarintools.com/cedict.html, http://www.chinese-forums.com/vocabulary/和http://sh.netsh.com/bbs/1951/。
## 英文翻译来自于CEDICT at http://www.mandarintools.com/cedict.html
## Columns are tab delimited. 行间分隔符为Tab键。
## http://lingua.mtsu.edu/chinese-computing/statistics/index.html
## http://lingua.mtsu.edu/chinese-computing/statistics/char/download.php?Which=CL
id	character	occurrences	frequency	pinyins	traductions
241	花	56770	51.9053270349	hua1	flower/blossom/to spend (money, time)/fancy pattern
242	口	56595	51.9919317658	kou3	mouth/(a measure word)
243	神	56125	52.0778172774	shen2	God/unusual/mysterious/soul/spirit/divine essence/lively/spiritual being
244	发	56051	52.1635895501	fa1/fa4	to send out/to show (one's feeling)/to issue/to develop, hair
245	第	55926	52.2491705411	di4	(prefix before a number, for ordering numbers, e.g. "first", "number two", etc)
246	光	55919	52.3347408203	guang1	light/ray/bright
247	取	55638	52.419881098	qu3	to take/to get/to choose/to fetch
248	坐	55597	52.5049586354	zuo4	to sit/to take a seat/to take (a bus, airplane etc.)
249	应	55572	52.5899979164	ying1/ying4	ought, (surname)/to answer/to respond
250	遣	55290	52.6746056658	qian3	dispatch
251	矣	55164	52.7590206031	yi3	final part.
252	学	55053	52.8432656822	xue2	learn/study/science/-ology
253	京	55034	52.9274816865	jing1	capital/Beijing (abbrev.)
254	间	54948	53.011566089	jian1/jian4	between/among/space/(measure word), interstice/separate
255	卷	54369	53.0947644743	juan3/juan4	to roll (up)/to sweep up/to carry on, coil/to roll, chapter/examination paper
256	春	54272	53.177814425	chun1	spring (time)/gay/joyful/youthful/love/lust/life
257	酒	54196	53.2607480763	jiu3	wine/liquor/spirits
258	字	54167	53.3436373503	zi4	letter/symbol/character/word
259	重	54102	53.4264271578	chong2/zhong4	to double/to repeat/repetition/iteration/again/a layer, heavy/serious
260	没	54057	53.5091481039	mei2/mo4	(negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate
261	几	53999	53.5917802952	ji1/ji3	small table, almost, a few/how many, how much/how many/several/a few
262	右	53503	53.6736534804	you4	right (-hand)
263	祖	53213	53.755082892	zu3	ancestor/forefather/grandparents
264	罢	52994	53.836177178	ba4/ba	to stop/cease/dismiss/suspend/to quit/to finish, (final part.)
265	既	52989	53.9172638126	ji4	already/since/both... (and...)
266	经	52775	53.9980229729	jing1	classics/sacred book/pass through/to undergo/scripture
267	往	52771	54.0787760122	wang3/wang4	to go (in a direction)/past/previous/towards, toward/(of a train) bound for
268	再	52036	54.1584043147	zai4	again/once more/re-/second/another
269	汉	52006	54.2379867096	han4	Chinese/name of a dynasty
270	宝	51621	54.3169799566	bao3	a jewel or gem/a treasure/precious
271	黄	51543	54.3958538438	huang2	(surname)/sulfur/yellow
272	边	51441	54.4745716452	bian1	side/edge/margin/border/boundary
273	通	50748	54.5522289804	tong1	go through/know well/to connect/to communicate/open
274	笑	50538	54.6295649622	xiao4	laugh/smile
275	御	50470	54.7067968868	yu4	defend/imperial/to drive, defend/resist
276	节	50413	54.7839415869	jie2/jie1	festival/section/segment/point/part/to economize/to save/temperate
277	宫	50406	54.8610755752	gong1	palace
278	却	49974	54.9375484938	que4	but/yet/however/while/to go back/to decline/to retreat/nevertheless
279	对	49838	55.0138132977	dui4	couple/pair/to be opposite/to oppose/to face/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right
280	兴	49728	55.0899097738	xing1/xing4	flourish/it is the fashion to/to become popular, interest
281	周	49644	55.1658777085	zhou1	(surname)/complete/encircle/circuit/lap/week/cycle/all/every/attentive/thoughtful, bestow alms, cycle/week
282	母	49550	55.2417017993	mu3	female/mother
283	真	49445	55.3173652134	zhen1	real/true/genuine
284	石	49148	55.392574142	dan4/shi2	10 pecks, rock/stone
285	陈	49139	55.4677692984	chen2	arrange/exhibit/narrate/tell/old/stale/a surname/to state/to display/to explain/(surname)
286	话	48908	55.5426109661	hua4	dialect/language/spoken words/speech/talk/words/conversation/what someone said
287	打	48815	55.6173103201	da2/da3	dozen, beat/strike/break/mix up/build/fight/fetch/make/tie up/issue/shoot/calculate/since/from
288	尽	48761	55.6919270404	jin3/jin4	to the utmost, to use up/to exhaust/to end/to finish/to the utmost/exhausted/finished/to the limit (of sth)
289	气	48597	55.7662927991	qi4	air/anger/gas, gas/air/smell/weather/vital breath/to make sb. angry/to get angry/to be enraged
290	直	48508	55.8405223651	zhi2	straight/vertical/frank/directly/straightly/upright
291	情	48507	55.9147504009	qing2	feeling/emotion/passion/situation
292	传	48439	55.9888743794	chuan2/zhuan4	to pass on/to spread/to transmit/to infect/to transfer/to circulate/to pass on/to conduct (electricity), biography
293	海	48381	56.0629096031	hai3	ocean/sea
294	齐	48229	56.1367122282	qi2	(surname)/even/to make even
295	难	48169	56.2104230381	nan2/nan4	difficult (to...)/problem/difficulty/difficult/not good, disaster/distress/to scold
296	乐	48127	56.2840695773	le4/yue4	(surname)/happy/laugh/cheerful, (surname)/music
297	己	48094	56.3576656182	ji3	6th heavenly stem/self
298	拜	47771	56.4307673869	bai4	to pay respect/worship/visit/salute
299	吾	47747	56.5038324296	wu2	I/my
300	清	47519	56.5765485743	qing1	clear/distinct/complete/pure
301	合	47249	56.6488515504	ge3/he2	one-tenth of a peck, Chinese musical note/fit/to join
302	夜	46797	56.7204628517	ye4	night
303	做	46627	56.7918140097	zuo4	to do/to make/to produce
304	居	46514	56.8629922491	ju1	reside
305	刘	46203	56.9336945794	liu2	(surname)/to kill
306	龙	46178	57.0043586534	long2	dragon/imperial/Long (a surname)
307	郡	46126	57.0749431541	jun4	canton/county/region
308	奏	46039	57.1453945228	zou4	present a memorial
309	钱	46030	57.2158321191	qian2	(surname)/coin/money
310	置	45972	57.2861809607	zhi4	to install/to place/to put
311	功	45804	57.3562727197	gong1	merit/achievement/result/service/accomplishment
312	封	45653	57.4261334102	feng1	to confer/to grant/to seal/(a measure word)
313	住	45487	57.4957400786	zhu4	to live/to dwell/to reside/to stop
314	原	45342	57.5651248602	yuan2	former/original/primary/raw/level/cause/source
315	兄	45295	57.6344377198	xiong1	elder brother
316	想	45273	57.7037169138	xiang3	to think/to believe/to suppose/to wish/to want/to miss
317	虽	45112	57.7727497369	sui1	although/even though
318	爷	45104	57.8417703179	ye2	grandpa/etc./old gentleman
319	举	44950	57.9105552398	ju3	to lift/to hold up/to cite/to enumerate/to act/to raise/to choose/to elect
320	实	44906	57.9792728306	shi2	real/true/honest/really/solid
321	岁	44762	58.0477700648	sui4	year/years old/(a measure word)
322	向	44675	58.1161341668	xiang4	direction/part/side/towards/to/guide/opposite to, guide/opposite to
323	贼	44659	58.1844737848	zei2	thief
324	卿	44626	58.2527629044	qing1	(old) minister/(old) term of endearment between spouses/thou (poet.)
325	被	44394	58.320697005	bei4	by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear
326	敢	44338	58.3885454115	gan3	dare
327	领	44248	58.456256095	ling3	neck/collar/to lead/to receive
328	议	44247	58.5239652483	yi4	criticize/discuss
329	望	44242	58.5916667503	wang4	hope/expect/to visit/to gaze (into the distance)/look towards/towards
330	思	44227	58.6593452985	si1	to think/to consider
331	别	43614	58.726085801	bie2/bie4	leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin, contrary/difficult/awkward
332	制	43604	58.7928110009	zhi4	system/to make/to manufacture/to control/to regulate, manufacture
333	注	43389	58.8592071962	zhu4	to inject/to pour into/to concentrate/to pay attention/to note/to comment on/to record/to register/to annotate, annotate
334	许	43301	58.9254687291	xu3	to allow/to permit/to praise/(surname)
335	送	43294	58.9917195502	song4	to deliver/to carry/to give (as a present)/to present (with)/to see off/to send
336	信	43199	59.0578249972	xin4	letter/true/to believe/sign/evidence
337	些	42979	59.1235937883	xie1	some/few/several/(a measure word)
