# http://lingua.mtsu.edu/chinese-computing/phonology/syllabletone.php
id	pinyin	frequency	phonemes
900	xia1	6598	sia
901	xia2	60414	sia
902	xia4	667330	sia
903	xian1	240676	sian
904	xian2	46325	sian
905	xian3	179592	sian
906	xian4	700867	sian
907	xiang1	110391	siaN
908	xiang2	80754	siaN
909	xiang3	473015	siaN
910	xiang4	911780	siaN
911	xiao1	160793	siau
912	xiao2	1375	siau
913	xiao3	428303	siau
914	xiao4	277972	siau
915	xie1	409261	si«
916	xie2	111597	si«
917	xie4	165247	si«
918	xin1	683384	sin
919	xin4	235394	sin
920	xing1	87122	si«N
921	xing2	794742	si«N
922	xing3	26899	si«N
923	xing4	450482	si«N
924	xiong1	66869	siuN
925	xiong2	37972	siuN
926	xiu1	83019	si«u
927	xiu3	3526	si«u
928	xiu4	43271	si«u
929	xu1	229779	sy
930	xu2	18175	sy
931	xu3	166034	sy
932	xu4	156678	sy
933	xuan1	53924	syan
934	xuan2	24969	syan
935	xuan3	82498	syan
936	xuan4	34208	syan
937	xue1	9318	sy«
938	xue2	472033	sy«
939	xue3	30997	sy«
940	xue4	59944	sy«
941	xun1	4568	suin
942	xun2	74826	suin
943	xun4	90374	suin
944	ya1	26887	ia
945	ya2	46455	ia
946	ya3	24527	ia
947	ya4	156279	ia
948	ya5	35343	ia
949	yan1	40078	ian
950	yan2	281197	ian
951	yan3	223257	ian
952	yan4	246649	ian
953	yang1	44052	iaN
954	yang2	178735	iaN
955	yang3	76098	iaN
956	yang4	399279	iaN
957	yao1	33371	iau
958	yao2	60978	iau
959	yao3	11029	iau
960	yao4	882933	iau
961	ye2	54105	i«
962	ye3	753465	i«
963	ye4	433207	i«
964	yi1	3253593	i
965	yi2	186067	i
966	yi3	1262437	i
967	yi4	1166958	i
968	yin1	489220	in
969	yin2	60867	in
970	yin3	123047	in
971	yin4	77604	in
972	ying1	137870	i«N
973	ying2	126378	i«N
974	ying3	112520	i«N
975	ying4	321850	i«N
976	yo5	3635	(N/A)
977	yong1	34940	iuN
978	yong3	78248	iuN
979	yong4	538997	iuN
980	you1	80415	i«u
981	you2	440383	i«u
982	you3	68196	i«u
983	you4	2157764	i«u
984	yu1	8865	y
985	yu2	767961	y
986	yu3	73311	y
987	yu4	863697	y
988	yuan1	9794	yan
989	yuan2	696563	yan
990	yuan3	110455	yan
991	yuan4	207638	yan
992	yue1	110223	y«
993	yue4	381178	y«
994	yun2	59071	uin
995	yun3	16351	uin
996	yun4	143600	uin
997	za2	44146	tsa
998	zai1	24393	tsai
999	zai3	6390	tsai
1000	zai4	2221244	tsai
1001	zan4	40877	tsan
1002	zan5	19554	tsan
1003	zang1	1321	tsaN
1004	zang4	54612	tsaN
1005	zao1	36602	tsau
1006	zao2	2880	tsau
1007	zao3	97859	tsau
1008	zao4	134667	tsau
1009	ze2	293345	ts«
1010	zei2	7045	ts«i
1011	zen3	112294	ts«n
1012	zeng1	97038	ts«N
1013	zeng4	6004	ts«N
1014	zha1	2797	ÿ§a
1015	zha2	19784	ÿ§a
1016	zha3	4393	ÿ§a
1017	zha4	41260	ÿ§a
1018	zhai1	11039	ÿ§ai
1019	zhai2	8464	ÿ§ai
1020	zhai3	5219	ÿ§ai
1021	zhai4	25685	ÿ§ai
1022	zhan1	10883	ÿ§an
1023	zhan3	164916	ÿ§an
1024	zhan4	408786	ÿ§an
1025	zhang1	215570	ÿ§aN
1026	zhang3	37729	ÿ§aN
1027	zhang4	88041	ÿ§aN
1028	zhao1	41455	ÿ§au
1029	zhao3	92038	ÿ§au
1030	zhao4	156444	ÿ§au
1031	zhe1	5914	ÿ§«
1032	zhe2	51556	ÿ§«
1033	zhe3	360974	ÿ§«
1034	zhe4	1558087	ÿ§«
1035	zhe5	626326	ÿ§«
1036	zhen1	263552	ÿ§«n
1037	zhen3	20595	ÿ§«n
1038	zhen4	133951	ÿ§«n
1039	zheng1	137417	ÿ§«N
1040	zheng3	103560	ÿ§«N
1041	zheng4	742315	ÿ§«N
1042	zhi	49855	ÿ§
1043	zhi1	826970	ÿ§
1044	zhi2	393090	ÿ§
1045	zhi3	655690	ÿ§
1046	zhi4	1259703	ÿ§
1047	zhong	15258	ÿ§uN
